"URL","Institution Name","Index Herbariorum Record","Institution Code","Additional Institution Names","Institutional Discipline","URL for main institutional website","URL for institutional specimen catalog","URL for institutional webservices","Institutional LSID","Cool URI","Status of Institution","Institutional Governance","Institution Type","Description of Institution","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Primary Contact","CITES permit number","Date herbarium was founded","Geographic coverage of herbarium","Taxonomic coverage of herbarium","Number of specimens in herbarium","Incorporated Herbaria","Serials published by Institution"
"http://grbio.org/institution/atolep-collection","ATOLep Collection","No","UM-SI","","","http://www.leptree.net/","","","","http://grbio.org/cool/et04-nwpi","Active","","University or college","(=Frozen Lepidoptera Collection) Accumulated over 20+ years by Charles Mitter and his collaborators. Assembling the Tree Of Life Lepidoptera (ATOLep) collection currently contains ~16,000 specimens, representing 107 families, stored in 100% ethanol at -80 degrees C (suitable for both DNA PCR and RT-PCR). Not listed in any public database.","Department of Entomology","4112 Plant Sciences Building","University of Maryland","College Park","MD","20742-4454","USA","Department of Entomology","4112 Plant Sciences Building","University of Maryland","College Park","MD","20742-4454","USA","Kim Mitter, Ph.D. (Collection Manager)","","","","","","",""
"http://grbio.org/institution/australian-biological-tissue-collection-south-australian-museum","Australian Biological Tissue Collection, South Australian Museum","No","ABTC","","","http://www.samuseum.sa.gov.au/page/default.asp?site=1&amp;amp%3Bid=795","","","","http://grbio.org/cool/y82c-h1ev","Active","","Museum","The Evolutionary Biology Unit (EBU) of the South Australian Museum (SAMA) maintains frozen and alcohol preserved tissues and DNA samples from approximately 120,000 vertebrate and invertebrate specimens. This collection, referred to as the Australian Biological Tissue Collection (ABTC), was the first such frozen tissue collection in any museum in Australia and one of the first two or three in the world. Today it is one of the largest wildlife tissue collections in the world. The collection encompasses most of the terrestrial vertebrate groups and a broad representation of major fish and invertebrate groups from Australia and surrounding regions. Each specimen receives a unique identifier and does not require a collection code. Alternate contact, inquireies for loans and accessibility: Dr. Terry Bertozzi Terry.Bertozzi@samuseum.sa.gov.au","Evolutionary Biology Unit","South Australian Museum","North Terrace","Adelaide","","5000","Australia","Evolutionary Biology Unit","South Australian Museum","North Terrace","Adelaide","","5000","Australia","Prof. Stephen Donnellan","","","","","","",""
"http://grbio.org/institution/australian-museum","Australian Museum","No","AM","","","http://www.australianmuseum.net.au","http://collections.australianmuseum.net.au/amweb/pages/am/Query.php","","","http://grbio.org/cool/xphn-vmdb","Active","Public, Other","Museum","Includes Arachnology, Entomology, Malacology, Marine Invertebrate, Herpetology, Ichthyology, Mammalogy, and Ornithology collections. All catalogued as one collection.","6 College Street","","","Sydney","NSW","2010","Australia","6 College Street","","","Sydney","New South Wales","2010","Australia","David Britton","","","","","","",""
"http://grbio.org/institution/australian-national-algae-culture-collection","Australian National Algae Culture Collection","No","ANACC","","","http://www.csiro.au/ANACC","","","urn:lsid:biocol.org:col:35263","http://biocol.org/urn:lsid:biocol.org:col:35263","Active","","","Formerly Known as CSIRO Collection of Living Micro-algae (acronym CS). For historical continuity &quot;CS-&quot; is maintained as the strain code prefix. ANACC uses a single numbering system that does not require collection codes.","CSIRO Marine and Atmospheric Research","GPO Box 1532","","Hobart","Tasmania","7001","Australia","CSIRO Marine and Atmospheric Research","Castray Esplanade","","Hobart","Tasmania","7000","Australia","Ian Jameson, Curator","","","","Representatives of most marine microalgae classes and several freshwater classes including noxious cyanobacteria","","",""
"http://grbio.org/institution/australian-national-botanic-gardens","Australian National Botanic Gardens","Yes","CANB<IH>","Herbarium","","http://www.anbg.gov.au/cpbr/","","","urn:lsid:biocol.org:col:15596","http://biocol.org/urn:lsid:biocol.org:col:15596","Active","","Herbarium","Updated Dec 2012.   Formerly &quot;Herbarium Australiense.&quot; United with CBG (250 000 specimens) in 1993 under joint management. Specimens originally from CBG will continue to be cited as CBG. Administratively responsible for QRS (now part of CNS). Quarantine restrictions apply for herbarium material sent to Australia. Please contact the institution before sending any material.","G.P.O. Box 1600","Australian National Herbarium","G.P.O. Box 1600","Canberra","Australian Capital Territory","2601","Australia","CSIRO Plant Industry, Clunies Ross Street, Acton, Black Mountain.","Australian National Herbarium","G.P.O. Box 1600","CANBERRA","A.C.T.","2601","Australia","Brendan Lepschi, Curator","AU 011","1930","Worldwide, especially Australia, New Guinea, and the southwestern Pacific; all groups; large cryptogam collection; voucher collections for Australian National Botanic Gardens.","","1116404","CBG (250 000 specimens) in 1993; FRI , Myrtaceae, in 1987; ANUC (30 000 specimens) in 1996.",""
"http://grbio.org/institution/australian-national-botanic-gardens-specimens-pre-1993","Australian National Botanic Gardens, specimens pre-1993","Yes","CBG<IH>","Herbarium","","http://www.anbg.gov.au/anbg/","","","urn:lsid:biocol.org:col:15740","http://biocol.org/urn:lsid:biocol.org:col:15740","Active","","Herbarium","In 1993, the herbarium collections, staff, databases, and research programs of the Australian National Botanic Gardens (CBG) were combined with those of the Australian National Herbarium (CANB) as part of the jointly managed and funded Centre for Plant Biodiversity Research.  CANB was adopted as the herbarium abbreviation for the combined collections.  Specimens originally from CBG will continue to be cited as CBG. The approximately 250 000 CBG specimens are included in the total for CANB. Information regarding CBG is included with CANB.  Correspondence, including loan requests, should be directed to CANB.","G.P.O. Box 1777","Herbarium","G.P.O. Box 1777","Canberra","Australian Capital Territory","2601","Australia","Clunies Ross Street, Black Mountain.","Herbarium","G.P.O. Box 1777","CANBERRA","A.C.T.","2601","Australia","Brendan Lepschi, Curator","AU 020","","","","","",""
"http://grbio.org/institution/australian-national-fish-collection","Australian National Fish Collection","No","CSIRO","","","http://www.csiro.au/places/ps7u.html","","","","http://grbio.org/cool/0k2v-y6wz","Active","Public, Federal: General","Museum","","CSIRO Marine and Atmospheric Research","GPO Box 1538","","Hobart","Tasmania","7001","Australia","CSIRO Marine and Atmospheric Research","Castray Esplanade","","Hobart","Tasmania","7000","Australia","Alastair Graham (Fish Collection Manager)","","","","","","",""
"http://grbio.org/institution/australian-national-insect-collection","Australian National Insect Collection","No","ANIC","","","http://www.csiro.au/ANIC","","","urn:lsid:biocol.org:col:32981","http://biocol.org/urn:lsid:biocol.org:col:32981","Active","","","The Australian National Insect Collection (ANIC) is the world's largest collection of Australian insects and related groups such as mites, spiders, earthworms, nematodes and centipedes. ANIC is an important research collection used by CSIRO researchers, university staff and students, and scientists from Australian and international research organisations. There are over 12 million specimens housed in the Collection which is maintained by CSIRO Entomology in Canberra, in the Australian Capital Territory.","Black Mountain Laboratories","Clunies Ross Street","GPO Box 1700","Canberra City","Australian Capital Territory","ACT 2601","Australia","Black Mountain Laboratories","Clunies Ross Street","GPO Box 1700","Canberra City","Australian Capital Territory","ACT 2601","Australia","Nicole Fisher","","","","","","",""
"http://grbio.org/institution/australian-national-wildlife-collection","Australian National Wildlife Collection","No","ANWC","","","","","","urn:lsid:biocol.org:col:34932","http://biocol.org/urn:lsid:biocol.org:col:34932","Active","","","Australia's federal science agency, CSIRO, has four major natural history collections of which this is one.","GPO Box 284","","","Canberra","Australian Capital Territory","2601","Australia","CSIRO Ecosystem Sciences","Bellenden Street","Crace","Canberra","Australian Capital Territory","2609","Australia","Leo Joseph","","","","","","",""
"http://grbio.org/institution/bank-modified-nucleic-acid-systems","Bank of Modified Nucleic Acid Systems","No","BMNAS","","","http://monas.com/","","","","http://grbio.org/cool/g2q9-msjm","Active","","University or college","Various modified nucleosides will be synthesized. Through these synthetic technique, functional oligonucleotide such as cell membrane permeable siRNA and fluorescent oligonucleotide possible to applicable to SNP probe or mRNA sensor also will be synthesized. With these synthetic materials, the bank of modified nucleic acid systems will play an essential role for widespread use of these materials.","Department of Chemistry, Pohang University of Science and Technology San 31 Hyojadong, Pohang, Kyungbuk,790-784 Republic of Korea","","","Pohang","Kyongsangbuk-do","790-784","South Korea","Department of Chemistry, Pohang University of Science and Technology San 31 Hyojadong, Pohang, Kyungbuk,790-784 Republic of Korea","","","Pohang","Kyongsangbuk-do","790-784","South Korea","Won bo yeon","","","","","","",""
"http://grbio.org/institution/bavarian-state-collection-zoology","Bavarian State Collection of Zoology","No","ZSM","","Biological Sciences: Zoology","http://www.zsm.mwn.de/e/","","","","http://grbio.org/cool/4b7r-7sec","Active","Public, Federal: General","Museum","(=Zoologisches Staatssammlung Muenchen), about 25 million specimens. Organized in three Departments (Entomology, Invertebrates, Vertebrates) comprised of 14 sections (e.g. Herpetology, Mollusca, Diptera)","Zoologische Staatssammlung Muenchen","Muenchhausenstrasse 21","","81247 Muenchen","Bayern","81247","Germany","The Bavarian State Collection of Zoology","Muenchhausenstrasse 21","","81247 Munich","","","Germany","Prof. Dr. Gerhard Haszprunar","","","","","","",""
"http://grbio.org/institution/biod%C3%B4me-de-montr%C3%A9al","Biodôme de Montréal","No","BDM","","","http://www.biodome.qc.ca","","","","http://grbio.org/cool/sdiy-hvqq","Active","","Museum","","4777, Pierre-De Coubertin","","","Montréal","Québec","H1V 1B3","Canada","4777, Pierre-De Coubertin","","","Montréal","Québec","H1V 1B3","Canada","Serge P&amp;eacute;pin","","","","","","",""
"http://grbio.org/institution/biodiversity-institute-ontario","Biodiversity Institute of Ontario","No","BIOUG","","","http://www.biodiversity.uoguelph.ca/","","","","http://grbio.org/cool/5jpr-r1ny","Active","Private, non-profit: General","University or college","The Biodiversity Institute of Ontario is a large-scale project supported by the Canada Foundation for Innovation (CFI), the Ontario Innovation Trust (OIT), Genome Canada (GC), and the Ontario Genomics Institute (OGI). BIO research programs are supported by the Natural Sciences and Engineering Research Council of Canada (NSERC), the Gordon and Betty Moore Foundation, and other sources.","Biodiversity Institute of Ontario","University of Guelph","Grange Lane","Guelph","Ontario","N1G 1Y2","Canada","Biodiversity Institute of Ontario","University of Guelph","Grange Lane","Guelph","Ontario","N1G 1Y2","Canada","Sally (Sarah) Adamowicz, Director of Collections","","","","","","",""
"http://grbio.org/institution/biodiversity-research-museum-academia-sinica-taiwan","Biodiversity Research Museum, Academia Sinica, Taiwan","No","BRCAS","","","http://biodiv.sinica.edu.tw/en2007/","","","","http://grbio.org/cool/r4w4-k7ed","Active","","Museum","Research specimens from various taxonomic groups including approximately 115 thousand plants, 13 thousand fishes, two thousand birds, and five thousand invertebrates (cnidarians, annelids, mollusks, arthropods and echinoderms). Among them, the fish collection, which covers extensive local fish fauna, is the most comprehensive collection of its kind in Taiwan and adjacent areas.","128 Sec. 2, Academia Rd","","","Taipei 115","","","Taiwan","128 Sec. 2, Academia Rd","","","Taipei 115","","","Taiwan","Pai-Lei, Lin","","","","","","",""
"http://grbio.org/institution/biology-centre-upper-austrian-state-museum","Biology Centre of the Upper Austrian State Museum","No","LMOB","","","http://www.biologiezentrum.at","","","","http://grbio.org/cool/9bw5-v28c","Active","","Museum","Landesmuseum Oberösterreichischen Biologiezentrum","","","","","","","","Johann Wilhelm Klein Str. 73","","","Linz","Upper Austria","4040","Austria","Dr. Gerhard Aubrecht","","","","","","",""
"http://grbio.org/institution/biology-centre-upper-austrian-state-museum-herbarium","Biology Centre of the Upper Austrian State Museum - Herbarium","No","LI","","","","","","","http://grbio.org/cool/5f1c-2ftv","Active","","Herbarium","Also listed as a collection LMOB:LI see ","Johann Wilhelm Klein Str. 73","","","Linz","Upper Austria","4040","Austria","Johann Wilhelm Klein Str. 73","","","Linz","Upper Austria","4040","Austria","Doz. Dr. Martin Pfosser","","","","","","",""
"http://grbio.org/institution/bishop-museum","Bishop Museum","No","BPBM","","","http://www.bishopmuseum.org/research/natsci/","","","urn:lsid:biocol.org:col:34697","http://biocol.org/urn:lsid:biocol.org:col:34697","Active","Private, non-profit: General","Museum","","1525 Bernice Street","","","Honolulu","Hawaii","96817-2704","USA","1525 Bernice Street","","","Honolulu","Hawaii","96817-2704","USA","Neal Evenhuis","","","","","","",""
"http://grbio.org/institution/bishop-museum-botany-division","Bishop Museum, Botany Division","Yes","BISH<IH>","Herbarium Pacificum","","http://www.bishopmuseum.org/research/natsci/botany/botany.html","http://nsdb.bishopmuseum.org/SpecimenSearch","http://www.bishopmuseum.org/","urn:lsid:biocol.org:col:15708","http://biocol.org/urn:lsid:biocol.org:col:15708","Active","Public, Other","Herbarium","Updated Apr 2013 (staff update). This is the same as the Herbarium collection within the Bishop Museum institution (BPBM).","Department of Natural Sciences","1525 Bernice Street","","Honolulu","Hawaii","96817-2704","USA","Herbarium Pacificum - Department of Natural Sciences","Bishop Museum","1525 Bernice St.","HONOLULU","Hawaii","96817-2704","USA","Barbara Kennedy","US 024","1908","Pacific, especially Hawaiian Islands; French Polynesia and Fiji; Malesia, especially Papua New Guinea and the Philippines; Micronesia; Okinawa, Ryukyu Islands; Australia; Sri Lanka.","","750000","Combined herbaria of University of Hawaii and Board of Agriculture and Forestry in 1922; Hawaiian Sugar Planters Association in 1957; Brigham Young University, Laie herbarium in 1989; Maxwell S. Doty herbarium and library in 1994; William J. Hoe bryophyte herbarium in 1998; Dept Land and Natural Resources/Endangered Species Program herbarium in 1999; University of Hawaii, College of Tropical Agriculture and Human Resources herbarium in 2001; Isabella A. Abbott algal herbarium in 2002.","Bishop Museum Occasional Papers.; Bishop Museum Miscellaneous Publications."
"http://grbio.org/institution/botanical-museum-university-oslo","Botanical Museum - University of Oslo","Yes","O<IH>","Herbarium","","http://www.nhm.uio.no/fagene/botanikk/","","","urn:lsid:biocol.org:col:13093","http://biocol.org/urn:lsid:biocol.org:col:13093","Active","","Herbarium","Updated Mar 2013 (staff update).","Natural History Museum","P.O. Box 1172, Blindern","","NO-0318 Oslo","","","Norway","Sarg gt. 1, NO-0562 Oslo.","","","OSLO","","","Norway","Charlotte Sletten Bjorå","","1863","All groups worldwide.","","1800000","","Sommerfeltia."
"http://grbio.org/institution/botanische-staatssammlung-m%C3%BCnchen","Botanische Staatssammlung München","Yes","M<IH>","Herbarium","","http://www.botanischestaatssammlung.de","","","urn:lsid:biocol.org:col:15637","http://biocol.org/urn:lsid:biocol.org:col:15637","Active","","Herbarium","Updated Jul 2008. Brazilian collections of C. F. P. von Martius are not available for loan. For loan regulations see http://www.botanischestaatssammlung.de/herbarium/loans.html. For collectors and collections see H. Hertel and A. Schreiber, Mitt. Bot. Staatssamml. München 26: 81-512. 1988.","Menzinger Straße 67","Botanische Staatssammlung München","Menzinger Straße 67","D-80638 München","","D-80638","Germany","Herbarium","Botanische Staatssammlung München","Menzinger Straße 67","MÜNCHEN","","D-80638","Germany","Andreas  Beck","DE 202-06","1813","All groups worldwide.","","3000000","Tierärztliche Hochschule München; Technische Universität München; Bayerische Botanische Gesellschaft; Naturkundemuseum Bamberg; part of DUSS (e.g., ); Munich School of Philosophy (formerly Berchmannskolleg).","Arnoldia. Munich."
"http://grbio.org/institution/botanischer-garten-und-botanisches-museum-berlin-dahlem-zentraleinrichtung-der-freien","Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universitaet","Yes","B<IH>","Herbarium","","http://www.bgbm.org","","","urn:lsid:biocol.org:col:15534","http://biocol.org/urn:lsid:biocol.org:col:15534","Active","","Herbarium","Updated Mar 2013 (staff updates). Specimens of B-W (Herbarium Willdenow) not sent on loan, but photographs provided. Herbarium destroyed by fire in 1943 except B-W, type material of selected angiosperms, pteridophytes, fungi p.p. (Uredineae and fungi imperfecti), and special collections (cf. Englera 7: 219-252. 1987; http://www.bgbm.fu-berlin.de/bgbm/research/colls/herb/). Special collections of fruits and seeds, gymnosperm cones, spirit-preserved material, wood, fossils, and plant remains from Egyptian tombs.","Königin-Luise-Strasse 6-8","","","D-14195 Berlin","","D-14195","Germany","Herbarium","Botanischer Garten und Botanisches Museum Berlin-Dahlem","Koenigin-Luise-Strasse 6-8","BERLIN","","D-14195","Germany","Robert Vogt, Curator","DE 203-03","1815","All groups worldwide, especially central Europe, Mediterranean area, southwestern Asia, Africa, Cuba, and South America.","","3500000","DUSS (6000 specimens) in 1998; BHU (270 000 specimens) in 1993; KOELN (25 000 lichens) in 2005; BSB (15 000 specimens) in 2005","Englera.; Willdenowia.; Annals of the Botanic Garden and Botanical Museum Berlin-Dahlem."
"http://grbio.org/institution/bovine-genome-resources-bank","Bovine Genome Resources Bank","No","BGRB","","","http://www.bovinebank.kr/bod/","","","","http://grbio.org/cool/19k3-b83f","Active","Private, non-profit: General","University or college","Bovine Genome Resources Bank (BGRB), one of the Korean National Research Resources Banks, is established to collect and maintain a variety of precious genetic and informative resources for bovine genome research. The constructed BGRB has genomic library, DNA samples from many cattle individuals, and eventually a well-organized computer-assisted database. BGRB will have positive contribution in scientific and economic field through collection and reservation of genome resources, support for the others researchers and provision of the useful tools to identify the genes with economically important traits for the improvement of the cattle production in the future. BGRB has a single collection that does not require collection codes.","Bovine Genome Resources Bank","214 Dae-dong Yeungnam University","Kyeongbuk, Kyeongsan 712-749","Gyeongsan-si","GYEONGSANGBUK-DO KYUNGSAN","712-749","South Korea","Bovine Genome Resources Bank","214 Dae-dong Yeungnam University","Kyeongbuk, Kyeongsan 712-749","Gyeongsan-si","GYEONGSANGBUK-DO KYUNGSAN","712-749","South Korea","Inho Choi","","","","","","",""
"http://grbio.org/institution/brassica-resource-bank","Brassica Resource Bank","No","BRB","","","http://www.brassica-resource.org","","","","http://grbio.org/cool/ex5c-nw6k","Active","","University or college","The genus Brassica, phylogenetically related to Arabidopsis thaliana, is one of economically important crops and a botanical model of plant polyploidization and rapid phenotypic evolution. We established the Brassica Resource Bank (BRB) in order to supply basic plant materials for structural/functional genomics and breeding of Brassica. BRB has served various Brassica species, especially, doubled haploid and recombinant inbred lines, and DNA stocks including BAC libraries and cDNA libraries. BRB has collected specific-Brassica cultivars as well as subspecies from international plant resource centers. Moreover, all germplasms of BRB have been propagated and maintained. Currently, BRB has collected 9,591 accessions for Brassica species, 91,446 clones for cDNA libraries, and 277,440 clones for BAC libraries, and 1,398 genetic markers. BRB has served more than 621,345 clones, 280 genetic markers and 6,210 lines to researchers in 10 countries since 2003. Information and other requests for genomic resources of Brassica are accessible at http://www.brassica-resource.org.","Brassica Resources Bank(BRB)","","","Daejeon","Yuseong-gu, Gung-Dong","305-764","South Korea","Brassica Resources Bank(BRB)","","","Daejeon","Yuseong-gu, Gung-Dong","305-764","South Korea","Prof. Yong Pyo Lim","","","","","","",""
"http://grbio.org/institution/brigham-young-university-sl-welsh-herbarium","Brigham Young University - S.L. Welsh Herbarium","Yes","BRY<IH>","Stanley L. Welsh Herbarium","","http://mlbean.byu.edu/ResearchCollections/Collections/VascularPlants.aspx","","","urn:lsid:biocol.org:col:15673","http://biocol.org/urn:lsid:biocol.org:col:15673","Active","","Herbarium","Updated Mar 2013 (staff update). OGDF (30 500 specimens) transferred to BRY in 2007.  Continue to cite OGDF.","375 MLBM","Brigham Young University","375 MLBM","Provo","Utah","84602-0200","USA","Monte L. Bean Life Science Museum.","Brigham Young University","375 MLBM","PROVO","Utah","84602-0200","USA","N. Duane Atwood","","1923","Utah; arctic; western North America; Oceania; all groups.","","661100","OGDF (30 500 specimens) in 2007","Great Basin naturalist.; Great Basin Naturalist Memoirs."
"http://grbio.org/institution/brukenthal-national-museum-museum-natural-history","Brukenthal National Museum Museum of Natural History","No","BNMMNH","","","http://www.brukenthalmuseum.ro","","","","http://grbio.org/cool/p1ja-ik50","Active","","Museum","There was a time when the Transylvanian naturalism, as well as the European one, experienced a spectacular grow and by that time the Transylvanian Society for Natural Sciences (Siebenbarghische Verein far Naturwissenschaften zu Hermannstadt) was established (1849) as the result of German-Saxon intellectuals' initiative. They aimed for an organization fit to accommodate the sharing of their passion for the nature and to serve the dissemination of their discoveries in order to educate the younger generation in the spirit of knowledge about nature and of the preservation of natural trust.","Str. Cetatii, Nr. 1","","","Sibiu","n/a","550169","Romania","Str. Cetatii, Nr. 1","","","Sibiu","n/a","550169","Romania","Ghizela Vonica","","","","","","",""
